y,fixacidity,volaacidity,ressugar,chlorides,freesulfdioxid,density,pH,sulphates,alcohol
0,0.1721,-0.0833,2.8211,-0.0354,0.5699,2.3104,-1.2468,-0.3491,-1.393
0,-0.6574,0.214,-0.9447,0.1477,-1.2529,-0.0164,0.74,0.0013,-0.8242
0,1.4756,0.0158,0.1003,0.1935,-0.3121,0.316,0.4751,-0.4368,-0.3366
0,0.4091,-0.4797,0.4157,0.5597,0.6875,0.6484,0.0115,-0.7873,-0.4991
0,0.4091,-0.4797,0.4157,0.5597,0.6875,0.6484,0.0115,-0.7873,-0.4991
0,1.4756,0.0158,0.1003,0.1935,-0.3121,0.316,0.4751,-0.4368,-0.3366
0,-0.7759,0.4122,0.12,-0.0354,-0.3121,0.316,-0.0547,-0.1739,-0.7429
0,0.1721,-0.0833,2.8211,-0.0354,0.5699,2.3104,-1.2468,-0.3491,-1.393
0,-0.6574,0.214,-0.9447,0.1477,-1.2529,-0.0164,0.74,0.0013,-0.8242
0,1.4756,-0.5788,-0.9644,-0.0811,-0.4297,-0.0164,0.2102,-0.3491,0.3947
0,1.4756,-0.0833,-0.9742,-0.5846,-1.4293,-1.0136,-1.313,0.6147,1.2073
0,2.0681,-0.4797,-0.4321,-0.4931,-1.0765,0.316,-0.3196,0.3518,-0.6617
0,1.2386,-0.9751,-1.0235,-0.2642,-1.1353,-0.6812,-0.0547,1.2281,0.2322
1,-0.3019,-1.1733,-0.9644,-0.0811,0.7463,-1.0136,2.3294,0.2642,1.5324
0,1.7126,1.4032,2.5352,-0.2642,0.3347,1.978,-1.3792,1.5785,-0.6617
1,-0.3019,-1.0742,-0.9644,-0.6304,-0.4297,-1.0136,0.4088,0.5271,0.7198
0,-0.6574,1.9978,-1.0432,0.0104,-0.3121,-0.3488,0.3426,-1.1378,-0.7429
1,-0.7759,3.7816,-1.0235,-0.7677,-0.3709,-1.6784,0.9386,-0.8749,1.8574
0,0.6461,0.6104,-1.0432,-0.5846,-1.0765,-0.6812,-0.4521,0.3518,0.6385
0,-0.4204,0.3131,0.2186,-0.0811,-0.0769,0.6484,0.2102,0.089,-0.8242
